Year,Rank,Brewer,Brewer Barrels,Total Barrels
1950,1,Jos. Schlitz Brewing Co.,5096840,82830137
1950,2,"Anheuser-Busch, Inc.",4928000,82830137
1950,3,"Ballantine, Inc.",4375000,82830137
1950,4,Pabst Brewing Co.,3418677,82830137
1950,5,F & M Schaefer Brewing Co.,2772000,82830137
1950,6,Liebmann Bros.,2965522,82830137
1950,7,Falstaff Brewing Corp.,2286707,82830137
1950,8,Miller Brewing Co.,2105706,82830137
1950,9,Blatz Brewing Co.,1756000,82830137
1950,10,Pfeiffer Brewing Co.,1618077,82830137
1960,1,"Anheuser-Busch, Inc.",8477099,87912847
1960,2,Jos. Schlitz Brewing Co.,5694000,87912847
1960,3,Falstaff Brewing Corp.,4915000,87912847
1960,4,Carling Brewing Co.,4822075,87912847
1960,5,Pabst Brewing Co.,4738000,87912847
1960,6,P. Ballantine & Sons,4408895,87912847
1960,7,Theo. Hamm Brewing Corp.,3907040,87912847
1960,8,F & M Schaefer Brewing Co.,3202500,87912847
1960,9,Liebmann Breweries,2950268,87912847
1960,10,Miller Brewing Co.,2376543,87912847
1970,1,"Anheuser-Busch, Inc.",22201811,121861000
1970,2,Jos. Schlitz Brewing Co.,15129000,121861000
1970,3,Pabst Brewing Co.,10517000,121861000
1970,4,Adolph Coors Co.,7277076,121861000
1970,5,F & M Schaefer Brewing Co.,5749000,121861000
1970,6,Falstaff Brewing Corp.,5386133,121861000
1970,7,Miller Brewing Co.,5150000,121861000
1970,8,Carling Brewing Co.,4819000,121861000
1970,9,Theo. Hamm Brewing Co.,4470000,121861000
1970,10,Associated Brewing Co.,3750000,121861000
1980,1,"Anheuser-Busch, Inc.",50200000,176311699
1980,2,Miller Brewing Co.,37300000,176311699
1980,3,Pabst Brewing Co.,15091000,176311699
1980,4,Jos. Schlitz Brewing Co.,14900000,176311699
1980,5,Adolph Coors Co.,13800000,176311699
1980,6,G. Heileman Brewing Co.,13270000,176311699
1980,7,Stroh Brewery Co.,6161255,176311699
1980,8,Olympia Brewing Co.,6091000,176311699
1980,9,Falstaff Brewing Co.,3901000,176311699
1980,10,C. Schmidt & Sons,3625000,176311699
1990,1,"Anheuser-Busch, Inc.",86499000,199088000
1990,2,Miller Brewing Co.,43500000,199088000
1990,3,Adolph Coors Co.,19300000,199088000
1990,4,Stroh Brewery Co.,16200000,199088000
1990,5,G. Heileman Brewing Co.,10915000,199088000
1990,6,Pabst Brewing Co.,6700000,199088000
1990,7,"Heineken USA, Inc.",2630000,199088000
1990,8,High Falls Brewing Co. LLC,2200000,199088000
1990,9,Molson USA,1030000,199088000
1990,10,Barton Beers Ltd.,1020000,199088000
2000,1,"Anheuser-Busch, Inc.",99200000,205806000
2000,2,Miller Brewing Co.,42532000,205806000
2000,3,Molson Coors Brewing Company,22780000,205806000
2000,4,Pabst Brewing Co.,10750000,205806000
2000,5,"Heineken USA, Inc.",4560000,205806000
2000,6,Labatt USA,3929000,205806000
2000,7,Gambrinus,3793000,205806000
2000,8,Barton Beers Ltd.,3505000,205806000
2000,9,Guinness USA,1725000,205806000
2000,10,Boston Beer Company,1192000,205806000
2010,1,"Anheuser-Busch, Inc.",102125000,213821000
2010,2,MillerCoors,61485000,213821000
2010,3,"Constellation Brands, Inc.",11323000,213821000
2010,4,"Heineken USA, Inc.",8400000,213821000
2010,5,Pabst Brewing Co.,5505000,213821000
2010,6,Diageo-Guinness,2660000,213821000
2010,7,North American Breweries,2494000,213821000
2010,8,Boston Beer Company,2259000,213821000
2010,9,D.G. Yuengling & Son,2159000,213821000
2010,10,Mike's Hard Lemonade Co.,1205000,213821000
2017,1,"Anheuser-Busch, Inc.",89550000,215012000
2017,2,MillerCoors,52300000,215012000
2017,3,"Constellation Brands, Inc.",19200000,215012000
2017,4,"Heineken USA, Inc.",8125000,215012000
2017,5,Pabst Brewing Co.,5000000,215012000
2017,6,Boston Beer Company,3755000,215012000
2017,7,D.G. Yuengling & Son,2705000,215012000
2017,8,North American Breweries,2325000,215012000
2017,9,Diageo-Guinness,2325000,215012000
2017,10,Mike's Hard Lemonade Co.,2015000,215012000
